ID,Pred_prob
T1,0.8700206009505014
T2,0.0015364354091045808
T3,0.047942135762498464
T4,0.3654103177363785
T5,0.22016612796105656
T6,0.2495291881360581
T7,5.533672716468062e-05
T8,0.003111749410076645
T9,0.437217202346198
T10,0.03262035948545557
T11,5.5336217898005297e-05
T12,0.19446717533420405
T13,0.06918375604308206
T14,5.5336034992120075e-05
T15,0.11767261717101536
T16,0.01059233752102456
T17,0.668424780603423
T18,0.48544246387946083
T19,0.8120337296563755
T20,0.9043896464401284
T21,0.2838675702459665
T22,0.2575737526358913
T23,0.027410564359052418
T24,0.25122996698746236
T25,0.2558999924163096
T26,0.01690089474223875
T27,0.8330888996046383
T28,0.8512094803114836
T29,0.8140856475896477
T30,0.5917855241960901
T31,0.1607194676336129
T32,0.11709917553494313
T33,0.16559395660213921
T34,0.028739789820574336
T35,0.011292300400913122
T36,0.25730466563403465
T37,0.1837317844724083
T38,0.44220902537122864
T39,0.05273867458943915
T40,0.6623722934139756
T41,0.0007380628173242574
T42,0.4729938185072829
T43,0.7840709459961939
T44,0.02203848074947601
T45,0.04776987727152769
T46,5.533641021247857e-05
T47,5.5337337534861974e-05
T48,0.14874378050989773
T49,0.8509561613034127
T50,0.6831720648967026
T51,5.533669058914032e-05
T52,5.533667175168708e-05
T53,0.738148722777499
T54,0.24841488269929188
T55,0.5595728935296742
T56,0.5407034155113412
T57,0.07361377050019828
T58,0.09384525134695759
T59,0.8855304220377999
T60,0.17468137989473315
T61,0.08469408745356785
T62,0.35838968330259047
T63,0.02759761249187363
T64,0.08682065940366304
T65,0.20890434964583582
T66,0.0643693889959753
T67,0.041113378029228924
T68,0.03206738279719677
T69,0.06466244073622726
T70,0.14566982436127582
T71,0.38806866205549984
T72,0.7054134028138513
T73,0.55796166233072
T74,0.5930395776895017
T75,0.03290121406113665
T76,0.2666408304353439
T77,0.19881917961519088
T78,0.0051292401505080385
T79,0.13276487055661662
T80,0.001721788491078734
T81,0.05329285350475338
T82,0.1865230692768734
T83,0.05883316293257066
T84,0.7565722865052725
T85,0.023655192813206313
T86,0.10258771217009588
T87,0.7244534861691967
T88,0.7029598389034084
T89,0.8641095903287381
T90,0.9743537954585086
T91,0.3323186633116853
T92,0.6835216923767928
T93,0.8657502095484972
T94,0.5716794222218565
T95,0.9847895730329143
T96,0.9040906666514357
T97,0.08407847887622558
T98,0.979337176054857
T99,0.6998217024876637
T100,0.2558069518530653
T101,0.02099161689075031
T102,0.0011307860271412887
T103,0.0018305879505009699
T104,0.5876562089318825
T105,0.41209747935677826
T106,5.5337559592525484e-05
T107,0.2794922252363018
T108,0.14281955212035283
T109,0.44323271515001056
T110,0.4854276698293057
T111,0.0332253173653019
T112,0.009647661308528073
T113,0.025409396043311015
T114,0.006318895046566811
T115,0.1852869808525916
T116,0.35248867825681374
T117,0.39596398559055523
T118,0.05579892162171657
T119,5.533627819115529e-05
T120,0.0008188839586744141
T121,0.7012471581213774
T122,0.8713342866280938
T123,0.7193087951090689
T124,0.1898438775549653
T125,0.36977576540627355
T126,0.5811646254252345
T127,0.7239325008975126
T128,0.9319914299781067
T129,0.9935293151804234
T130,0.9311715118318242
T131,0.7738619238173969
T132,0.00012052310928979717
T133,0.9150288182464636
T134,0.5356955933718475
T135,0.00045974830853481136
T136,9.791292192880879e-05
T137,0.251470368726788
T138,0.0004285050829163723
T139,0.010083143432562836
T140,0.4357295788516865
T141,0.06814451094797498
T142,0.04089160403213215
T143,0.11676727983776518
T144,0.3234765590324357
T145,0.22150791129687528
T146,0.2754524707657759
T147,0.45371304473474544
T148,0.20575228106290927
T149,0.5533810509942418
T150,0.1344367679339335
T151,0.09414442452569852
T152,0.07909139533167278
T153,0.0006642958139013462
T154,0.01856501729337699
T155,0.06923918369063027
T156,0.005495339266410108
T157,0.5348399363414658
T158,0.4158379861942557
T159,0.11544386612790261
T160,0.19065218655641653
T161,0.11124685931279939
T162,0.020942346840172616
T163,0.12283450520120556
T164,0.2063585123558501
T165,0.19169002422936854
T166,0.00031627121149235664
T167,0.20134891536280114
T168,0.8231059151144218
T169,0.7629778716365991
T170,0.2776925660979591
T171,0.025039691872424857
T172,0.000929753916549211
T173,0.11800130838078408
T174,0.542126478889925
T175,0.06795169941008046
T176,0.06834667260332225
T177,5.533621580614198e-05
T178,0.03451916634373967
T179,0.42631700365770897
T180,0.31890873782406076
T181,0.04287758588140973
T182,0.022581292352717913
T183,0.4851730737260196
T184,0.5521235954185626
T185,0.12346647302632348
T186,0.046447347639924856
T187,0.2491328291939224
T188,0.41700698707689143
T189,0.5505947001351515
T190,0.8664099158655756
T191,0.9470380278006078
T192,0.9256656090763309
T193,0.03725414541001193
T194,0.08752246368004045
T195,0.3357031290471846
T196,0.32799340396793875
T197,0.7168117069943826
T198,0.05432698080556466
T199,0.12491317292985302
T200,0.004179279791261444
T201,0.2423417970861239
T202,0.003392233020062636
T203,0.2844166304593596
T204,0.0010159514426832806
T205,0.000921813283791224
T206,0.07018273779019993
T207,0.0038158870195493374
T208,0.05623175268313341
T209,0.12374170498519817
T210,0.08573362638872864
T211,0.03196702390163741
T212,0.6002254122583361
T213,0.4407934232599386
T214,0.05386548516366625
T215,0.012824819263713918
T216,0.045778367134276264
T217,0.018865554512038033
T218,0.05136465691252714
T219,0.04250428563225837
T220,0.38298694625433327
T221,0.8789939132546556
